"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年6月26日","0.46739","0.46811","0.49582","0.45328","2.87B","-0.16%"
"2019年6月25日","0.46812","0.47394","0.47639","0.45774","1.73B","-1.23%"
"2019年6月24日","0.47394","0.47016","0.47554","0.45100","1.49B","0.80%"
"2019年6月23日","0.47017","0.47707","0.49215","0.46529","2.13B","-1.45%"
"2019年6月22日","0.47707","0.44318","0.50552","0.44022","3.24B","7.65%"
"2019年6月21日","0.44316","0.42984","0.44739","0.42973","1.50B","3.10%"
"2019年6月20日","0.42986","0.43419","0.43523","0.42075","1.25B","-1.00%"
"2019年6月19日","0.43418","0.42717","0.43792","0.42432","1.23B","1.63%"
"2019年6月18日","0.42720","0.44722","0.45471","0.42021","2.03B","-4.49%"
"2019年6月17日","0.44728","0.42751","0.46044","0.42615","2.03B","4.63%"
"2019年6月16日","0.42748","0.40947","0.44041","0.40683","1.84B","4.40%"
"2019年6月15日","0.40947","0.40194","0.41203","0.40039","1.27B","1.85%"
"2019年6月14日","0.40204","0.39882","0.40300","0.39079","1.11B","0.81%"
"2019年6月13日","0.39882","0.40063","0.40797","0.39554","1.12B","-0.47%"
"2019年6月12日","0.40068","0.39204","0.40090","0.38749","1.22B","2.20%"
"2019年6月11日","0.39205","0.40005","0.40176","0.38260","1.22B","-2.00%"
"2019年6月10日","0.40003","0.38540","0.40303","0.38064","1.40B","3.78%"
"2019年6月9日","0.38547","0.40720","0.41027","0.37232","1.47B","-5.34%"
"2019年6月8日","0.40721","0.41974","0.42205","0.40262","1.03B","-2.98%"
"2019年6月7日","0.41973","0.41935","0.42999","0.41434","1.38B","0.09%"
"2019年6月6日","0.41935","0.40042","0.42292","0.39128","1.80B","4.73%"
"2019年6月5日","0.40041","0.39836","0.40557","0.38824","1.62B","0.51%"
"2019年6月4日","0.39837","0.41808","0.41877","0.38531","2.44B","-4.71%"
"2019年6月3日","0.41805","0.44401","0.46336","0.41805","2.38B","-5.85%"
"2019年6月2日","0.44403","0.42891","0.44665","0.42786","1.25B","3.52%"
"2019年6月1日","0.42894","0.43842","0.44121","0.41956","1.47B","-2.16%"
"2019年5月31日","0.43841","0.41843","0.44049","0.40806","1.96B","4.78%"
"2019年5月30日","0.41841","0.44277","0.47232","0.40294","3.27B","-5.50%"
"2019年5月29日","0.44275","0.44861","0.45595","0.42106","2.10B","-1.31%"
"2019年5月28日","0.44863","0.43356","0.45732","0.41911","2.32B","3.50%"
"2019年5月27日","0.43344","0.40471","0.44539","0.40323","2.14B","7.12%"
"2019年5月26日","0.40464","0.38542","0.40919","0.37556","1.54B","5.00%"
"2019年5月25日","0.38536","0.38287","0.39194","0.38079","1.20B","0.65%"
"2019年5月24日","0.38289","0.37974","0.39165","0.37180","1.72B","0.83%"
"2019年5月23日","0.37975","0.37313","0.38252","0.36351","1.54B","1.78%"
"2019年5月22日","0.37311","0.39539","0.40906","0.36928","1.88B","-5.65%"
"2019年5月21日","0.39544","0.39552","0.40542","0.38734","1.54B","-0.02%"
"2019年5月20日","0.39551","0.41542","0.41542","0.38139","2.10B","-4.79%"
