"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年11月21日","7,671.10","8,126.40","8,155.90","7,510.07","9.89K","-5.60%"
"2019年11月20日","8,126.40","8,164.90","8,255.00","8,081.01","2.06K","-0.47%"
"2019年11月19日","8,164.90","8,219.50","8,241.90","8,055.20","3.70K","-0.66%"
"2019年11月18日","8,219.50","8,536.70","8,536.78","8,119.00","6.36K","-3.72%"
"2019年11月17日","8,537.30","8,523.40","8,662.90","8,422.02","2.84K","0.16%"
"2019年11月16日","8,523.50","8,494.80","8,553.10","8,442.70","1.53K","0.33%"
"2019年11月15日","8,495.83","8,655.50","8,798.10","8,420.20","5.18K","-1.85%"
"2019年11月14日","8,655.70","8,800.90","8,817.40","8,601.40","3.30K","-1.65%"
"2019年11月13日","8,801.10","8,830.00","8,849.30","8,730.30","1.34K","-0.33%"
"2019年11月12日","8,830.00","8,737.70","8,891.50","8,602.10","3.50K","1.06%"
"2019年11月11日","8,737.71","9,069.70","9,107.30","8,633.40","4.24K","-3.65%"
"2019年11月10日","9,068.40","8,827.10","9,156.90","8,764.00","4.64K","2.72%"
"2019年11月9日","8,828.05","8,782.32","8,891.40","8,735.90","1.96K","0.52%"
"2019年11月8日","8,782.36","9,209.20","9,252.40","8,688.10","7.86K","-4.62%"
"2019年11月7日","9,208.00","9,355.00","9,387.10","9,086.50","3.75K","-1.55%"
"2019年11月6日","9,353.00","9,334.00","9,475.00","9,278.00","3.47K","0.20%"
"2019年11月5日","9,333.90","9,440.00","9,504.10","9,200.00","3.41K","-1.14%"
"2019年11月4日","9,441.20","9,223.00","9,621.80","9,152.00","7.47K","2.37%"
"2019年11月3日","9,222.40","9,332.20","9,400.60","9,100.00","3.62K","-1.18%"
"2019年11月2日","9,332.12","9,288.40","9,429.40","9,251.84","3.66K","0.46%"
"2019年11月1日","9,289.10","9,185.60","9,332.10","9,087.40","4.09K","1.13%"
"2019年10月31日","9,185.60","9,184.40","9,460.70","8,984.80","5.67K","0.01%"
"2019年10月30日","9,184.30","9,445.50","9,446.90","9,035.00","5.05K","-2.77%"
"2019年10月29日","9,445.50","9,229.20","9,558.30","9,101.30","6.73K","2.38%"
"2019年10月28日","9,225.70","9,574.10","9,948.00","9,216.80","8.99K","-3.62%"
"2019年10月27日","9,571.80","9,270.90","9,815.60","9,121.60","11.11K","3.25%"
"2019年10月26日","9,270.90","8,679.30","10,464.10","8,662.86","32.06K","6.82%"
"2019年10月25日","8,679.10","7,453.00","8,800.00","7,426.00","17.10K","16.45%"
"2019年10月24日","7,453.00","7,493.60","7,529.00","7,372.00","5.80K","-0.54%"
"2019年10月23日","7,493.68","8,053.70","8,074.50","7,341.50","12.98K","-7.01%"
"2019年10月22日","8,058.90","8,242.20","8,332.20","8,037.10","3.85K","-2.24%"
"2019年10月21日","8,243.90","8,260.70","8,371.30","8,181.80","3.41K","-0.20%"
"2019年10月20日","8,260.60","7,993.00","8,335.60","7,922.00","4.87K","3.35%"
"2019年10月19日","7,992.90","7,987.30","8,117.00","7,927.00","3.51K","0.07%"
"2019年10月18日","7,987.20","8,092.36","8,135.10","7,860.00","5.30K","-1.30%"
"2019年10月17日","8,092.26","8,016.10","8,144.90","7,949.30","2.81K","0.95%"
"2019年10月16日","8,016.00","8,191.00","8,203.20","7,960.00","7.08K","-2.14%"
"2019年10月15日","8,191.10","8,369.96","8,433.68","8,123.60","3.28K","-2.14%"
"2019年10月14日","8,370.00","8,304.90","8,423.50","8,230.10","2.54K","0.77%"
"2019年10月13日","8,305.70","8,319.60","8,477.40","8,179.30","4.04K","-0.15%"
"2019年10月12日","8,318.29","8,278.20","8,421.00","8,272.50","1.71K","0.46%"
"2019年10月11日","8,280.00","8,595.98","8,815.25","8,253.00","6.08K","-3.68%"
"2019年10月10日","8,596.00","8,610.40","8,682.80","8,472.00","4.32K","-0.13%"
"2019年10月9日","8,607.50","8,205.00","8,717.90","8,146.56","8.39K","4.83%"
"2019年10月8日","8,211.16","8,234.60","8,362.00","8,132.80","3.47K","-0.19%"
"2019年10月7日","8,227.00","7,886.16","8,342.00","7,794.90","8.15K","4.36%"
"2019年10月6日","7,883.09","8,162.50","8,183.10","7,807.10","5.85K","-3.42%"
"2019年10月5日","8,162.50","8,170.08","8,210.74","8,040.02","3.33K","-0.09%"
"2019年10月4日","8,170.00","8,260.50","8,264.90","8,040.00","3.05K","-1.06%"
"2019年10月3日","8,257.89","8,414.88","8,440.00","8,100.70","3.72K","-1.85%"
"2019年10月2日","8,413.40","8,333.68","8,419.90","8,193.50","3.45K","0.94%"
"2019年10月1日","8,334.90","8,331.13","8,539.00","8,228.00","5.84K","0.05%"
"2019年9月30日","8,331.13","8,090.10","8,384.00","7,753.00","10.92K","2.98%"
"2019年9月29日","8,090.00","8,238.20","8,260.20","7,930.70","6.14K","-1.80%"
"2019年9月28日","8,238.60","8,215.30","8,354.69","8,047.90","5.45K","0.31%"
"2019年9月27日","8,213.40","8,105.90","8,296.50","7,906.30","7.47K","1.35%"
"2019年9月26日","8,103.60","8,475.30","8,489.90","7,800.10","15.42K","-4.38%"
"2019年9月25日","8,474.70","8,535.00","8,770.00","8,266.10","12.77K","-0.86%"
"2019年9月24日","8,547.90","9,702.60","9,788.10","8,110.10","34.87K","-11.90%"
"2019年9月23日","9,702.60","10,055.00","10,077.00","9,627.50","5.49K","-3.48%"
"2019年9月22日","10,052.00","10,012.00","10,105.00","9,881.40","2.75K","0.39%"
"2019年9月21日","10,013.00","10,197.00","10,199.00","9,958.10","2.98K","-1.81%"
"2019年9月20日","10,197.99","10,303.00","10,340.00","10,105.00","2.51K","-1.00%"
"2019年9月19日","10,301.00","10,184.97","10,417.00","9,655.00","9.77K","1.14%"
"2019年9月18日","10,185.00","10,214.08","10,278.00","10,111.00","3.34K","-0.28%"
"2019年9月17日","10,214.08","10,290.00","10,308.00","10,171.00","2.94K","-0.79%"
"2019年9月16日","10,295.00","10,321.00","10,399.00","10,100.00","5.52K","-0.26%"
"2019年9月15日","10,321.98","10,381.00","10,402.00","10,287.00","1.88K","-0.55%"
"2019年9月14日","10,379.00","10,374.00","10,478.00","10,256.00","3.16K","0.05%"
"2019年9月13日","10,374.00","10,452.00","10,475.00","10,170.00","4.50K","-0.75%"
"2019年9月12日","10,452.00","10,174.20","10,488.00","10,065.07","4.40K","2.72%"
"2019年9月11日","10,175.00","10,121.00","10,297.00","9,866.50","4.35K","0.52%"
"2019年9月10日","10,122.00","10,317.00","10,399.00","9,961.70","4.21K","-1.90%"
"2019年9月9日","10,318.00","10,417.00","10,542.00","10,118.57","5.20K","-0.93%"
"2019年9月8日","10,415.00","10,489.00","10,599.00","10,257.00","3.51K","-0.70%"
"2019年9月7日","10,488.00","10,305.00","10,581.00","10,305.00","3.38K","1.66%"
"2019年9月6日","10,317.00","10,582.93","10,933.00","10,218.01","11.28K","-2.47%"
"2019年9月5日","10,578.73","10,593.00","10,663.00","10,483.00","3.01K","-0.11%"
"2019年9月4日","10,590.00","10,642.00","10,841.15","10,411.00","6.25K","-0.48%"
"2019年9月3日","10,641.00","10,401.00","10,766.00","10,300.00","10.74K","2.44%"
"2019年9月2日","10,388.00","9,783.00","10,473.00","9,754.90","11.14K","6.23%"
"2019年9月1日","9,779.10","9,623.90","9,858.00","9,560.06","2.87K","1.61%"
"2019年8月31日","9,623.90","9,600.70","9,710.20","9,472.10","2.75K","0.24%"
"2019年8月30日","9,601.00","9,509.40","9,710.00","9,384.31","3.75K","0.97%"
"2019年8月29日","9,509.00","9,727.30","9,727.30","9,360.40","7.08K","-2.25%"
"2019年8月28日","9,727.40","10,190.00","10,303.00","9,585.30","10.41K","-4.48%"
