"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年7月24日","8,010.60","7,928.78","8,010.83","7,926.98","169.25M","0.70%"
"2019年7月23日","7,954.56","7,946.05","7,955.09","7,895.05","138.29M","0.63%"
"2019年7月22日","7,905.12","7,862.38","7,918.47","7,862.27","149.00M","0.90%"
"2019年7月19日","7,834.90","7,944.86","7,950.23","7,832.39","177.80M","-0.88%"
"2019年7月18日","7,904.13","7,850.12","7,912.33","7,827.49","156.44M","0.19%"
"2019年7月17日","7,888.76","7,927.91","7,941.10","7,887.98","144.40M","-0.48%"
"2019年7月16日","7,927.08","7,958.44","7,965.76","7,904.95","139.65M","-0.50%"
"2019年7月15日","7,966.93","7,961.07","7,969.79","7,940.45","149.41M","0.30%"
"2019年7月12日","7,943.24","7,908.58","7,944.08","7,900.39","178.33M","0.59%"
"2019年7月11日","7,896.78","7,918.65","7,934.60","7,873.16","149.72M","-0.08%"
"2019年7月10日","7,903.40","7,869.73","7,923.93","7,858.68","165.08M","0.98%"
"2019年7月9日","7,826.86","7,748.29","7,833.92","7,748.23","146.88M","0.53%"
"2019年7月8日","7,785.79","7,790.46","7,792.20","7,756.11","143.85M","-0.71%"
"2019年7月5日","7,841.30","7,806.07","7,854.71","7,774.59","125.48M","-0.21%"
"2019年7月3日","7,857.69","7,819.06","7,857.69","7,811.29","111.14M","0.74%"
"2019年7月2日","7,799.82","7,763.03","7,800.47","7,746.01","139.65M","0.41%"
"2019年7月1日","7,768.14","7,816.56","7,820.81","7,735.67","182.63M","1.27%"
"2019年6月28日","7,671.07","7,674.52","7,682.26","7,639.44","318.50M","0.18%"
"2019年6月27日","7,657.05","7,656.68","7,672.98","7,636.72","150.21M","0.39%"
"2019年6月26日","7,627.05","7,642.92","7,688.64","7,616.91","192.60M","0.47%"
"2019年6月25日","7,591.54","7,720.91","7,723.04","7,584.16","173.04M","-1.70%"
"2019年6月24日","7,723.02","7,737.01","7,746.68","7,720.78","153.06M","-0.07%"
"2019年6月21日","7,728.78","7,719.42","7,772.53","7,708.24","385.16M","-0.12%"
"2019年6月20日","7,738.06","7,770.17","7,770.61","7,681.43","170.38M","0.92%"
"2019年6月19日","7,667.74","7,652.52","7,681.56","7,606.28","166.28M","0.42%"
"2019年6月18日","7,635.40","7,606.61","7,689.08","7,595.59","197.02M","1.45%"
"2019年6月17日","7,526.52","7,500.28","7,546.99","7,492.17","147.03M","0.63%"
"2019年6月14日","7,479.11","7,476.47","7,500.74","7,454.87","152.29M","-0.42%"
"2019年6月13日","7,510.68","7,500.85","7,530.90","7,487.09","140.05M","0.51%"
"2019年6月12日","7,472.29","7,493.55","7,507.52","7,459.20","141.90M","-0.55%"
"2019年6月11日","7,513.85","7,584.75","7,595.57","7,489.99","162.20M","0.16%"
"2019年6月10日","7,501.93","7,472.60","7,573.00","7,468.16","176.90M","1.14%"
"2019年6月7日","7,417.29","7,315.33","7,445.99","7,309.01","176.53M","1.94%"
"2019年6月6日","7,275.93","7,229.86","7,293.22","7,201.59","172.72M","0.76%"
"2019年6月5日","7,220.90","7,230.81","7,235.23","7,146.43","181.76M","0.76%"
"2019年6月4日","7,166.75","7,056.18","7,169.79","7,023.10","217.17M","2.70%"
"2019年6月3日","6,978.02","7,110.34","7,126.43","6,936.68","245.98M","-2.10%"
"2019年5月31日","7,127.96","7,148.71","7,183.23","7,125.97","183.95M","-1.62%"
"2019年5月30日","7,245.40","7,234.83","7,262.77","7,204.42","135.81M","0.40%"
"2019年5月29日","7,216.86","7,222.55","7,254.20","7,176.67","195.44M","-0.85%"
"2019年5月28日","7,278.38","7,321.27","7,362.29","7,274.70","293.46M","-0.31%"
"2019年5月24日","7,300.96","7,353.97","7,371.30","7,294.10","143.59M","-0.10%"
"2019年5月23日","7,307.93","7,331.67","7,337.47","7,261.46","218.84M","-1.52%"
"2019年5月22日","7,420.66","7,413.84","7,458.11","7,410.72","153.96M","-0.41%"
"2019年5月21日","7,451.02","7,442.31","7,472.71","7,417.07","164.74M","1.01%"
"2019年5月20日","7,376.70","7,391.73","7,424.59","7,351.92","211.42M","-1.69%"
"2019年5月17日","7,503.68","7,513.15","7,605.67","7,496.92","212.22M","-1.01%"
"2019年5月16日","7,580.14","7,509.90","7,627.03","7,502.76","189.21M","1.02%"
"2019年5月15日","7,503.25","7,354.82","7,524.22","7,353.90","172.93M","1.37%"
"2019年5月14日","7,401.88","7,366.64","7,449.02","7,337.94","185.93M","1.06%"
"2019年5月13日","7,324.13","7,385.55","7,433.92","7,303.64","253.31M","-3.46%"
"2019年5月10日","7,586.53","7,556.04","7,623.01","7,426.75","198.03M","0.05%"
"2019年5月9日","7,582.75","7,525.81","7,605.03","7,472.71","200.57M","-0.46%"
"2019年5月8日","7,617.55","7,623.32","7,678.82","7,593.75","182.20M","-0.30%"
"2019年5月7日","7,640.15","7,713.49","7,743.06","7,572.61","234.70M","-1.98%"
"2019年5月6日","7,794.09","7,662.92","7,804.55","7,662.92","170.54M","-0.66%"
"2019年5月3日","7,845.73","7,784.29","7,847.52","7,772.44","168.29M","1.58%"
"2019年5月2日","7,724.06","7,751.64","7,791.51","7,672.54","182.85M","-0.36%"
"2019年5月1日","7,751.85","7,828.14","7,851.03","7,749.74","186.86M","-0.38%"
"2019年4月30日","7,781.46","7,769.30","7,792.32","7,726.07","195.63M","-0.73%"
"2019年4月29日","7,839.04","7,825.64","7,851.85","7,812.97","143.98M","0.16%"
"2019年4月26日","7,826.68","7,791.15","7,826.89","7,742.60","187.50M","0.12%"
"2019年4月25日","7,816.92","7,850.71","7,851.98","7,778.23","192.12M","0.42%"
"2019年4月24日","7,784.41","7,813.02","7,827.05","7,783.59","180.44M","-0.34%"
"2019年4月23日","7,810.71","7,724.17","7,819.34","7,719.09","171.31M","1.26%"
"2019年4月22日","7,713.49","7,658.37","7,715.33","7,653.89","129.12M","0.31%"
"2019年4月18日","7,689.72","7,688.93","7,694.18","7,647.40","188.48M","0.12%"
"2019年4月17日","7,680.72","7,705.32","7,715.07","7,659.85","198.94M","0.34%"
"2019年4月16日","7,654.73","7,651.19","7,670.40","7,631.64","165.46M","0.34%"
"2019年4月15日","7,629.12","7,630.60","7,636.81","7,578.54","129.62M","0.01%"
"2019年4月12日","7,628.15","7,624.15","7,630.52","7,596.56","139.85M","0.44%"
"2019年4月11日","7,594.89","7,621.40","7,621.40","7,580.70","128.38M","-0.22%"
"2019年4月10日","7,611.49","7,581.39","7,613.41","7,573.28","135.38M","0.57%"
"2019年4月9日","7,568.49","7,571.88","7,596.75","7,555.62","154.64M","-0.41%"
"2019年4月8日","7,599.74","7,565.06","7,602.08","7,536.42","141.44M","0.28%"
"2019年4月5日","7,578.84","7,564.27","7,581.90","7,554.91","147.63M","0.51%"
"2019年4月4日","7,540.57","7,542.16","7,571.13","7,496.30","164.96M","-0.06%"
"2019年4月3日","7,544.97","7,538.17","7,589.69","7,520.40","218.60M","0.60%"
"2019年4月2日","7,499.64","7,473.51","7,507.05","7,461.51","152.98M","0.28%"
"2019年4月1日","7,478.42","7,450.81","7,481.84","7,422.44","166.95M","1.35%"
"2019年3月29日","7,378.77","7,377.77","7,381.69","7,333.17","201.37M","0.80%"
"2019年3月28日","7,320.47","7,325.06","7,346.04","7,277.69","138.74M","0.17%"
"2019年3月27日","7,308.19","7,364.47","7,376.99","7,252.06","178.22M","-0.58%"
"2019年3月26日","7,351.15","7,378.23","7,417.26","7,314.38","172.87M","0.47%"
"2019年3月25日","7,316.96","7,299.93","7,342.51","7,265.28","168.62M","-0.12%"
"2019年3月22日","7,326.06","7,458.44","7,482.35","7,323.52","219.57M","-2.23%"
"2019年3月21日","7,493.27","7,356.94","7,505.41","7,356.94","220.56M","1.52%"
"2019年3月20日","7,380.75","7,348.99","7,422.76","7,318.42","202.54M","0.43%"
"2019年3月19日","7,349.28","7,357.58","7,390.29","7,321.93","236.91M","0.31%"
"2019年3月18日","7,326.28","7,311.63","7,348.69","7,293.85","179.30M","0.26%"
"2019年3月15日","7,306.99","7,274.14","7,331.30","7,265.64","456.55M","0.88%"
"2019年3月14日","7,243.01","7,257.31","7,267.94","7,240.96","195.34M","-0.19%"
"2019年3月13日","7,256.98","7,231.05","7,292.86","7,229.88","199.87M","0.77%"
"2019年3月12日","7,201.28","7,176.23","7,219.41","7,166.95","175.02M","0.52%"
"2019年3月11日","7,164.02","7,050.05","7,166.93","7,049.56","171.04M","2.11%"
"2019年3月8日","7,015.69","6,940.90","7,018.92","6,940.72","177.75M","-0.16%"
"2019年3月7日","7,026.88","7,089.63","7,097.91","7,001.81","182.76M","-1.20%"
"2019年3月6日","7,112.47","7,156.24","7,162.24","7,104.55","164.73M","-0.62%"
"2019年3月5日","7,156.78","7,156.66","7,178.30","7,120.69","181.03M","0.08%"
"2019年3月4日","7,150.83","7,193.88","7,205.94","7,073.40","200.62M","-0.01%"
"2019年3月1日","7,151.57","7,152.08","7,159.96","7,101.07","182.81M","0.76%"
"2019年2月28日","7,097.52","7,093.20","7,125.92","7,081.92","231.60M","-0.27%"
"2019年2月27日","7,117.01","7,095.75","7,125.78","7,045.41","166.32M","-0.09%"
"2019年2月26日","7,123.22","7,098.97","7,144.65","7,087.14","162.75M","0.11%"
"2019年2月25日","7,115.43","7,144.34","7,161.73","7,111.78","179.06M","0.35%"
"2019年2月22日","7,090.62","7,055.20","7,094.29","7,050.01","197.94M","0.79%"
"2019年2月21日","7,035.16","7,047.08","7,063.07","7,001.80","158.19M","-0.38%"
"2019年2月20日","7,062.34","7,070.23","7,096.15","7,027.37","169.85M","-0.06%"
"2019年2月19日","7,066.61","7,033.37","7,089.10","7,032.78","150.46M","0.16%"
"2019年2月15日","7,055.18","7,066.38","7,073.99","7,022.30","202.53M","0.47%"
"2019年2月14日","7,022.42","6,986.51","7,047.88","6,969.69","168.00M","0.09%"
"2019年2月13日","7,015.88","7,038.32","7,062.58","7,009.73","168.57M","0.02%"
"2019年2月12日","7,014.67","6,960.55","7,021.76","6,948.33","188.91M","1.53%"
"2019年2月11日","6,909.19","6,941.26","6,958.33","6,893.80","166.33M","-0.06%"
"2019年2月8日","6,913.13","6,843.33","6,914.56","6,836.70","168.04M","0.12%"
"2019年2月7日","6,904.98","6,934.33","6,954.77","6,854.35","204.46M","-1.32%"
"2019年2月6日","6,997.62","7,023.89","7,034.94","6,969.83","193.60M","-0.37%"
"2019年2月5日","7,023.52","6,969.37","7,029.77","6,967.94","206.73M","0.91%"
"2019年2月4日","6,959.96","6,876.56","6,960.97","6,872.60","177.35M","1.23%"
"2019年2月1日","6,875.52","6,872.73","6,921.95","6,857.31","220.67M","-0.45%"
"2019年1月31日","6,906.84","6,840.93","6,936.34","6,837.92","327.55M","1.45%"
